ç
Município,ibge,latitude,longitude,"PIB per capita_1999 (R$)","PIB per capita_2000 (R$)","PIB per capita_2001 (R$)","PIB per capita_2002 (R$)","PIB per capita_2003 (R$)","PIB per capita_2004 (R$)","PIB per capita_2005 (R$)","PIB per capita_2006 (R$)","PIB per capita_2007 (R$)","PIB per capita_2008 (R$)","PIB per capita_2009 (R$)","PIB per capita_2010 (R$)","PIB per capita_2011 (R$)"
Aceguá,4300034,-31.860759999990,-54.167059999990,-,-,9.617,11.626,14.859,19.391,17.409,16.072,18.508,20.302,26.625,30.445,29.028
"Água Santa",4300059,-28.167200000000,-52.030999999990,5.049,5.775,7.232,8.760,12.711,11.261,8.083,12.341,19.214,22.840,22.557,25.904,33.204
Agudo,4300109,-29.644700000000,-53.251500000000,5.359,5.746,6.061,8.145,10.110,10.100,9.397,10.473,12.109,13.562,15.678,16.391,17.907
Ajuricaba,4300208,-28.234200000000,-53.775700000000,4.878,5.134,6.405,6.868,11.140,9.355,8.017,10.603,16.395,17.048,17.985,20.832,29.801
Alecrim,4300307,-27.657900000000,-54.764899999990,3.110,3.639,4.205,4.671,5.871,5.866,5.955,6.943,7.976,8.683,9.505,11.441,11.188
Alegrete,4300406,-29.790199999990,-55.794899999990,4.824,4.807,5.654,6.144,7.486,8.747,8.479,9.265,10.957,13.880,14.353,16.062,15.757
Alegria,4300455,-27.834499999990,-54.055700000000,3.360,3.935,4.459,4.852,8.163,6.893,5.431,6.812,9.341,9.531,10.236,13.063,14.619
"Almirante Tamandaré do Sul",4300471,-28.108599999990,-52.911900000000,-,-,12.214,13.772,21.078,16.941,9.966,18.820,24.065,27.941,26.955,26.939,32.800
Alpestre,4300505,-27.250200000000,-53.034100000000,2.926,3.457,4.039,4.388,6.820,6.411,6.839,8.123,8.791,9.419,9.853,13.397,19.593
"Alto Alegre",4300554,-28.776900000000,-52.989199999990,4.660,4.994,6.803,7.809,10.933,7.832,6.297,9.406,12.563,15.738,17.592,18.018,21.653
"Alto Feliz",4300570,-29.391900000000,-51.312300000000,5.296,5.148,6.110,6.113,6.591,7.047,7.400,8.163,8.035,7.680,9.127,13.128,18.128
Alvorada,4300604,-29.991399999990,-51.080900000000,2.111,2.276,2.564,2.973,3.174,3.383,3.752,3.965,4.553,5.087,5.632,7.500,7.853
"Amaral Ferrador",4300638,-30.875599999990,-52.250999999990,3.214,2.945,4.201,4.724,6.142,6.460,5.713,7.034,6.960,7.555,9.357,9.222,10.296
"Ametista do Sul",4300646,-27.360700000000,-53.183000000000,2.546,2.813,3.167,3.893,4.726,4.893,5.143,5.463,5.885,5.672,6.303,9.232,9.701
"André da Rocha",4300661,-28.628299999990,-51.579700000000,7.484,8.481,11.512,11.339,20.128,19.955,13.691,23.773,26.626,32.610,30.789,28.970,34.377
"Anta Gorda",4300703,-28.969799999990,-52.010199999990,4.423,5.494,7.610,8.982,11.427,11.064,8.889,10.655,13.133,14.390,14.695,17.847,21.238
"Antônio Prado",4300802,-28.856500000000,-51.288300000000,7.826,8.082,8.746,10.147,11.756,12.295,12.177,13.269,14.442,14.780,16.661,21.743,23.687
Arambaré,4300851,-30.909300000000,-51.504600000000,6.577,6.423,7.377,7.832,10.598,12.657,8.727,9.108,13.271,15.779,18.416,21.491,19.664
Araricá,4300877,-29.616800000000,-50.929099999990,4.807,4.584,4.064,4.962,6.058,6.914,7.529,8.100,8.446,9.042,11.718,14.244,15.574
Aratiba,4300901,-27.397800000000,-52.297499999990,7.433,10.769,22.691,14.875,23.706,34.779,35.078,38.343,43.649,36.404,49.264,58.308,62.279
"Arroio do Meio",4301008,-29.401399999990,-51.955700000000,11.648,13.119,13.171,16.360,19.551,19.289,21.935,22.034,23.902,23.108,27.754,31.322,41.699
"Arroio do Padre",4301073,-31.431600000000,-52.417099999990,-,-,3.488,3.858,5.223,5.543,6.120,7.105,7.725,8.129,9.062,10.802,11.448
"Arroio do Sal",4301057,-29.543900000000,-49.889499999990,5.243,4.939,5.240,5.754,6.849,7.149,8.032,9.072,10.225,10.101,11.081,12.566,13.069
"Arroio do Tigre",4301206,-29.334800000000,-53.096600000000,4.818,5.406,7.172,8.052,9.626,10.354,10.181,12.467,13.400,14.913,15.939,16.003,15.706
"Arroio dos Ratos",4301107,-30.087500000000,-51.727499999990,3.023,3.885,4.057,4.195,5.174,6.204,6.976,7.224,8.601,8.356,7.660,8.956,9.184
"Arroio Grande",4301305,-32.232700000000,-53.086199999990,5.572,5.180,6.519,6.744,8.726,10.388,8.591,9.522,11.431,13.852,16.840,18.898,18.544
Arvorezinha,4301404,-28.873699999990,-52.178100000000,3.590,4.009,5.201,5.733,5.992,6.776,7.021,8.584,9.651,9.975,11.484,12.306,14.647
"Augusto Pestana",4301503,-28.517299999990,-53.988300000000,4.843,4.653,6.570,7.200,11.063,9.957,8.308,10.378,15.816,17.860,17.652,21.078,23.131
Áurea,4301552,-27.693600000000,-52.050500000000,3.410,3.771,4.731,5.339,8.572,8.081,6.477,8.573,11.332,11.773,11.913,14.250,16.543
Bagé,4301602,-31.329699999990,-54.099899999990,4.398,4.888,5.201,5.745,6.520,7.175,7.500,7.938,9.092,9.657,10.344,12.235,12.523
"Balneário Pinhal",4301636,-30.241900000000,-50.233600000000,5.997,4.730,4.953,5.109,6.027,6.307,6.539,7.038,7.418,7.475,7.900,10.549,11.425
Barão,4301651,-29.372500000000,-51.494900000000,4.000,4.330,5.339,5.883,6.220,6.943,7.547,8.288,9.433,10.925,14.876,17.717,20.129
"Barão de Cotegipe",4301701,-27.620799999990,-52.379800000000,4.406,4.600,5.044,5.490,8.964,7.957,7.758,9.399,11.919,12.863,13.812,17.932,18.351
"Barão do Triunfo",4301750,-30.389099999990,-51.738399999990,3.326,3.391,4.277,5.438,7.055,8.392,6.622,6.909,7.623,8.463,9.802,9.537,11.027
"Barra do Guarita",4301859,-27.192699999990,-53.710900000000,2.516,3.850,5.114,4.274,5.124,4.774,5.601,6.669,6.626,6.909,7.190,8.577,9.139
"Barra do Quaraí",4301875,-30.202900000000,-57.549700000000,12.457,9.445,11.842,13.752,16.842,20.190,14.510,18.210,16.852,25.362,27.990,33.444,25.207
"Barra do Ribeiro",4301909,-30.293900000000,-51.301400000000,4.280,4.467,4.878,5.907,7.390,8.215,7.235,7.830,9.470,10.662,12.029,13.517,13.008
"Barra do Rio Azul",4301925,-27.406800000000,-52.408400000000,3.779,4.032,4.728,4.924,7.218,7.224,7.433,8.333,12.697,16.017,14.512,17.194,19.876
"Barra Funda",4301958,-27.920500000000,-53.039099999990,7.919,8.597,8.939,10.165,14.831,16.253,15.083,18.438,22.101,23.470,25.892,31.354,30.357
Barracão,4301800,-27.673900000000,-51.458599999990,4.377,4.978,6.233,7.157,11.544,8.522,7.788,12.421,15.797,18.898,18.433,22.062,23.544
"Barros Cassal",4302006,-29.094700000000,-52.583599999990,3.292,3.463,4.504,5.306,6.817,7.141,6.523,8.246,7.775,8.374,9.515,10.577,12.352
"Benjamin Constant do Sul",4302055,-27.508600000000,-52.599499999990,2.358,2.603,3.122,3.181,5.005,4.691,4.554,5.362,6.734,8.050,7.773,9.485,10.430
"Bento Gonçalves",4302105,-29.166200000000,-51.516500000000,11.182,12.195,12.602,14.057,14.756,16.889,18.689,19.057,21.905,21.009,24.353,28.908,30.877
"Boa Vista das Missões",4302154,-27.667100000000,-53.310200000000,6.069,6.775,11.921,10.541,19.807,14.728,7.986,15.446,24.723,27.113,24.867,28.661,31.441
"Boa Vista do Buricá",4302204,-27.669300000000,-54.108199999990,4.983,6.122,7.202,7.555,8.970,9.204,8.939,10.126,12.861,13.075,12.706,16.187,17.197
"Boa Vista do Cadeado",4302220,-28.571600000000,-53.813800000000,-,-,13.136,12.145,27.359,22.321,9.443,22.458,30.859,39.548,35.285,34.301,44.242
"Boa Vista do Incra",4302238,-28.809200000000,-53.387400000000,-,-,14.353,15.835,28.989,16.690,9.279,19.422,21.760,28.435,28.874,27.397,34.381
"Boa Vista do Sul",4302253,-29.354399999990,-51.668700000000,4.422,5.208,7.070,8.400,10.853,9.738,9.509,10.933,12.738,12.006,14.075,21.910,34.831
"Bom Jesus",4302303,-28.669699999990,-50.429499999990,5.087,5.665,5.781,6.424,7.692,7.290,8.057,8.387,10.657,11.078,16.295,18.506,18.784
"Bom Princípio",4302352,-29.485600000000,-51.354799999990,6.448,7.421,8.743,9.630,10.975,12.704,13.204,14.276,15.390,15.735,17.824,19.716,19.601
"Bom Progresso",4302378,-27.539899999990,-53.871600000000,4.464,4.708,5.789,6.286,8.680,8.071,5.647,8.301,11.495,10.288,11.593,15.419,14.920
"Bom Retiro do Sul",4302402,-29.608599999990,-51.946399999990,5.570,6.349,6.779,6.639,7.468,8.350,8.102,8.283,9.455,9.613,11.815,14.752,14.245
