Município,ibge,latitude,longitude,"Taxa de Mortalidade por Ano_1996 (-)","Taxa de Mortalidade por Ano_1997 (-)","Taxa de Mortalidade por Ano_1998 (-)","Taxa de Mortalidade por Ano_1999 (-)","Taxa de Mortalidade por Ano_2000 (-)","Taxa de Mortalidade por Ano_2001 (-)","Taxa de Mortalidade por Ano_2002 (-)","Taxa de Mortalidade por Ano_2003 (-)","Taxa de Mortalidade por Ano_2004 (-)","Taxa de Mortalidade por Ano_2005 (-)","Taxa de Mortalidade por Ano_2006 (-)","Taxa de Mortalidade por Ano_2007 (-)","Taxa de Mortalidade por Ano_2008 (-)","Taxa de Mortalidade por Ano_2009 (-)","Taxa de Mortalidade por Ano_2010 (-)","Taxa de Mortalidade por Ano_2011 (-)"
Aceguá,4300034,-31.860759999990,-54.167059999990,-,-,-,-,-,-,-,1.18,1.73,1.05,0.81,1.05,1.29,1.69,1.75,1.33
Agudo,4300109,-29.644700000000,-53.251500000000,1.30,0.74,1.35,1.02,1.05,1.20,1.81,2.02,1.72,2.57,3.49,3.16,2.76,2.22,3.00,2.05
Ajuricaba,4300208,-28.234200000000,-53.775700000000,1.46,0.56,1.07,0.65,2.13,2.06,2.84,1.60,3.11,2.81,2.26,2.73,3.46,3.39,2.94,3.10
Alecrim,4300307,-27.657900000000,-54.764899999990,0.72,1.68,0.67,1.36,1.11,2.00,1.06,1.67,1.36,0.62,0.23,1.05,0.87,0.53,-,2.24
Alegrete,4300406,-29.790199999990,-55.794899999990,3.08,3.08,3.12,2.99,3.40,4.45,4.66,4.68,5.87,5.84,5.85,5.86,5.01,5.82,6.21,6.69
Alegria,4300455,-27.834499999990,-54.055700000000,0.45,0.40,1.17,2.14,1.42,1.39,3.80,4.95,2.11,2.78,3.14,4.04,5.06,5.22,2.70,6.17
Alpestre,4300505,-27.250200000000,-53.034100000000,0.84,1.17,0.96,1.45,2.01,1.04,1.11,0.74,0.90,1.35,1.31,1.59,1.31,0.98,1.74,1.90
Alvorada,4300604,-29.991399999990,-51.080900000000,3.23,3.76,2.52,2.74,2.99,2.73,2.33,3.98,3.68,4.31,4.33,6.29,6.29,5.80,5.25,5.15
"Amaral Ferrador",4300638,-30.875599999990,-52.250999999990,1.55,0.27,0.87,1.40,0.38,-,-,1.65,2.15,2.55,1.32,-,-,-,5.56,12.20
"Ametista do Sul",4300646,-27.360700000000,-53.183000000000,-,-,-,-,0.37,0.80,1.25,0.77,0.46,0.71,-,2.30,0.92,1.38,2.29,2.88
"Anta Gorda",4300703,-28.969799999990,-52.010199999990,-,1.19,1.61,0.80,0.58,0.73,0.61,0.58,1.19,0.67,1.09,2.09,0.67,0.67,1.27,2.38
"Antônio Prado",4300802,-28.856500000000,-51.288300000000,2.05,3.86,2.06,1.40,0.81,1.21,1.00,1.46,1.22,1.32,2.20,2.33,2.23,1.61,1.86,1.72
Aratiba,4300901,-27.397800000000,-52.297499999990,1.41,1.93,1.37,1.06,0.98,1.43,1.37,0.93,1.23,2.12,2.27,2.24,0.84,1.46,1.66,1.31
"Arroio do Meio",4301008,-29.401399999990,-51.955700000000,0.60,0.75,0.61,0.86,1.09,1.87,1.38,1.32,1.26,1.80,2.11,3.21,2.95,4.62,4.33,3.81
"Arroio do Tigre",4301206,-29.334800000000,-53.096600000000,3.67,3.19,2.72,2.69,3.43,3.63,3.16,2.76,3.11,3.05,3.46,3.05,3.08,3.45,3.40,2.99
"Arroio dos Ratos",4301107,-30.087500000000,-51.727499999990,0.90,1.59,1.34,1.10,1.28,1.07,0.96,1.96,2.63,2.57,1.86,3.88,3.35,5.16,3.98,4.97
"Arroio Grande",4301305,-32.232700000000,-53.086199999990,0.84,1.89,1.92,2.44,2.18,2.35,3.21,3.27,3.40,4.18,4.25,2.44,3.51,2.50,4.02,4.32
Arvorezinha,4301404,-28.873699999990,-52.178100000000,1.04,0.83,0.18,0.45,1.16,1.95,1.67,1.10,0.77,0.68,1.01,1.53,0.62,1.84,0.62,1.31
"Augusto Pestana",4301503,-28.517299999990,-53.988300000000,1.46,1.21,1.20,1.81,0.99,2.59,1.91,3.82,4.47,3.23,2.95,3.74,4.19,4.56,3.61,3.94
Áurea,4301552,-27.693600000000,-52.050500000000,0.53,0.98,0.34,1.30,2.58,2.38,3.80,4.41,8.05,6.45,1.89,6.25,8.00,6.38,12.00,-
Bagé,4301602,-31.329699999990,-54.099899999990,3.99,4.55,4.34,4.54,4.60,4.78,4.76,5.15,5.58,5.45,6.15,6.36,6.29,7.02,7.45,6.86
Barão,4301651,-29.372500000000,-51.494900000000,1.35,1.32,0.97,0.83,2.01,2.30,0.54,1.23,0.38,1.09,-,0.35,0.72,0.34,1.00,1.14
"Barão de Cotegipe",4301701,-27.620799999990,-52.379800000000,1.01,0.78,0.33,1.68,1.01,0.57,1.17,0.89,0.94,1.14,0.75,1.29,0.39,0.37,-,-
"Barra do Ribeiro",4301909,-30.293900000000,-51.301400000000,6.19,2.94,3.70,7.98,-,-,-,-,-,-,-,-,-,-,-,-
Barracão,4301800,-27.673900000000,-51.458599999990,1.83,3.15,1.24,0.82,1.08,2.24,1.22,1.57,1.14,1.89,1.01,1.03,-,0.89,4.44,-
"Barros Cassal",4302006,-29.094700000000,-52.583599999990,1.20,0.64,0.46,0.90,2.11,1.20,1.81,0.83,0.94,1.17,0.66,2.37,0.43,-,-,-
"Bento Gonçalves",4302105,-29.166200000000,-51.516500000000,3.01,3.04,3.24,3.41,3.68,2.97,3.53,3.29,2.85,3.42,3.54,4.07,4.09,4.65,4.21,3.80
"Boa Vista do Buricá",4302204,-27.669300000000,-54.108199999990,1.61,1.83,1.72,2.99,1.89,1.26,1.16,0.61,1.59,1.09,0.92,1.69,2.04,2.99,2.46,4.04
"Bom Jesus",4302303,-28.669699999990,-50.429499999990,0.95,1.05,1.02,1.51,1.60,0.79,1.09,1.04,0.24,0.72,1.61,0.78,1.34,1.93,2.45,1.36
"Bom Princípio",4302352,-29.485600000000,-51.354799999990,2.77,1.81,2.57,1.98,2.43,2.20,2.39,2.39,3.08,3.04,2.77,2.71,2.60,2.89,1.95,2.12
"Bom Retiro do Sul",4302402,-29.608599999990,-51.946399999990,1.86,1.07,2.02,1.67,2.04,2.63,3.32,3.18,4.06,4.31,4.90,4.15,3.86,2.96,3.94,4.95
"Boqueirão do Leão",4302451,-29.304600000000,-52.428400000000,1.57,2.77,1.85,0.99,0.44,1.29,1.25,1.27,0.57,1.70,0.95,1.46,1.86,0.81,2.07,2.08
Bossoroca,4302501,-28.729099999990,-54.903500000000,1.12,1.59,2.12,1.64,0.36,1.16,0.28,1.32,1.24,0.43,-,-,-,-,-,-
Braga,4302600,-27.617300000000,-53.740499999990,0.51,2.04,1.62,1.46,1.12,1.92,0.53,0.38,0.95,3.91,4.32,0.55,1.23,1.95,3.08,-
Brochier,4302659,-29.550100000000,-51.594499999990,0.28,-,-,0.57,-,-,-,-,-,-,-,-,-,-,0.86,5.49
Butiá,4302709,-30.117899999990,-51.960099999990,1.15,0.63,1.20,1.84,3.33,1.88,1.82,1.66,3.34,4.34,3.44,5.20,3.23,4.37,4.66,6.01
"Caçapava do Sul",4302808,-30.514399999990,-53.482700000000,1.39,0.97,1.51,1.90,2.35,3.19,3.57,3.98,5.23,5.09,3.95,4.06,4.55,5.10,4.13,6.08
Cacequi,4302907,-29.888300000000,-54.822000000000,1.15,1.34,1.47,0.99,1.51,1.54,1.15,2.56,0.87,2.31,2.73,3.16,3.53,2.81,2.31,2.69
"Cachoeira do Sul",4303004,-30.033000000000,-52.892800000000,4.86,5.19,5.12,5.32,5.36,5.40,5.09,5.64,6.48,6.40,6.59,6.43,6.96,6.88,5.94,6.32
Cachoeirinha,4303103,-29.947199999990,-51.101599999990,1.99,3.56,1.17,1.37,1.66,2.76,3.44,4.59,4.08,4.43,4.34,4.29,4.20,4.87,4.64,4.80
"Cacique Doble",4303202,-27.766999999990,-51.659700000000,2.08,1.50,0.36,1.34,1.13,2.07,1.39,1.23,0.35,1.29,0.55,1.16,-,0.80,-,-
Caibaté,4303301,-28.290500000000,-54.645400000000,1.27,0.65,1.93,2.24,1.17,2.29,3.07,1.05,2.01,4.06,2.22,2.09,2.09,3.47,3.90,4.72
Caiçara,4303400,-27.279100000000,-53.425699999990,2.10,1.04,0.79,1.85,1.96,0.81,1.09,-,1.51,1.05,0.68,1.06,3.97,-,0.29,0.70
Camaquã,4303509,-30.848900000000,-51.804299999990,1.86,1.92,2.76,2.30,2.01,2.50,3.53,3.60,4.01,3.80,4.28,4.97,4.88,4.94,4.93,6.29
"Cambará do Sul",4303608,-29.047400000000,-50.146500000000,0.20,0.35,0.51,0.37,-,0.18,0.42,0.97,1.08,1.61,0.77,2.23,3.50,1.02,5.68,5.26
"Campina das Missões",4303707,-27.988800000000,-54.841700000000,1.68,3.33,2.94,2.36,2.43,1.78,1.25,1.79,2.26,2.34,2.70,3.75,3.44,1.99,3.18,3.08
"Campinas do Sul",4303806,-27.717400000000,-52.624800000000,-,-,-,-,0.19,0.88,0.57,0.44,-,-,0.54,-,-,0.36,0.99,-
"Campo Bom",4303905,-29.674700000000,-51.060600000000,2.51,2.00,2.45,1.95,-,2.07,2.76,2.74,2.85,2.61,2.73,3.07,2.78,3.73,3.54,4.14
"Campo Novo",4304002,-27.679200000000,-53.805199999990,0.32,0.32,-,0.47,0.15,0.60,0.16,-,0.20,0.95,2.09,0.70,2.34,1.93,2.64,2.44
"Campos Borges",4304101,-28.887100000000,-53.000799999990,0.85,1.90,1.35,1.28,1.75,0.40,0.53,2.38,3.45,1.64,0.78,-,-,-,-,-
